Id	Name	HttpMethod	Endpoint	AuthMethods	Grants	SuccessStatusCode	DocURL
0	RootEndpoint	GET	https://api.github.com/	None,Basic,Token,ClientId		200	https://developer.github.com/v3/#root-endpoint
1	Repositories.List	GET	user/repos	Basic,Token		200	https://developer.github.com/v3/repos/#list-your-repositories
2	Repositories.Create	POST	user/repos	Basic,Token	repo	201	https://developer.github.com/v3/repos/#create
3	Repositories.PublicRepository.Create	POST	user/repos	Basic,Token	public_repo	201	https://developer.github.com/v3/repos/#create
4	Repositories.Edit	PATCH	repos/:owner/:repo	Basic,Token		200	https://developer.github.com/v3/repos/#edit
5	Repositories.Delete	DELETE	repos/:owner/:repo	Basic,Token	delete_repo	204	https://developer.github.com/v3/repos/#delete-a-repository
6	Repositories.Languages.List	GET	repos/:owner/:repo/languages	Basic,Token		200	https://developer.github.com/v3/repos/#list-languages
7	Repositories.Contributors.List	GET	repos/:owner/:repo/contributors	Basic,Token		200	https://developer.github.com/v3/repos/#list-contributors
8	Repositories.Tags.List	GET	repos/:owner/:repo/tags	Basic,Token		200	https://developer.github.com/v3/repos/#list-tags
9	Repositories.Teams.List	GET	repos/:owner/:repo/teams	Basic,Token		200	https://developer.github.com/v3/repos/#list-teams
10	Repositories.Get	GET	repos/:owner/:repo	Basic,Token		200	https://developer.github.com/v3/repos/#get
11	Repositories.AllPublicRepositories.List	GET	repositories	Basic,Token		200	https://developer.github.com/v3/repos/#list-all-public-repositories
12	Repositories.OrganizationRepositories.List	GET	orgs/:org/repos	None,Basic,Token		200	https://developer.github.com/v3/repos/#list-organization-repositories
13	Repositories.UserRepositories.List	GET	users/:username/repos	None,Basic,Token		200	https://developer.github.com/v3/repos/#list-user-repositories
14	Authorizations.List	GET	authorizations	Basic		200	https://developer.github.com/v3/oauth_authorizations/#list-your-authorizations
15	Authorizations.Get	GET	authorizations/:id	Basic		200	https://developer.github.com/v3/oauth_authorizations/#get-a-single-authorization
16	Authorizations.Create	POST	authorizations	Basic		201	https://developer.github.com/v3/oauth_authorizations/#create-a-new-authorization
17	Authorizations.Update	PATCH	authorizations/:id	Basic		200	https://developer.github.com/v3/oauth_authorizations/#update-an-existing-authorization
18	Authorizations.Delete	DELETE	authorizations/:id	Basic		204	https://developer.github.com/v3/oauth_authorizations/#delete-an-authorization
